Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
机票,jīpiào,plane ticket,你的机票买了吗,Did you buy your plane ticket?,5,你的__买了吗,Band1
开车,kāichē,verb: to drive,我不会开车,I don’t know how to drive,5,我不会__,Band1
课文,kèwén,main body of text within a lesson in a textbook or educational material,请大声朗读这篇课文,Please read the text aloud.,5,请大声朗读这篇__,Band1
路口,lùkǒu,intersection,到下一个路口右转,Turn right at the next intersection.,5,到下一个__右转,Band1
门票,ménpiào,tickets,博物馆的门票多少钱？,How much is the museum ticket?,5,博物馆的__多少钱？,Band1
哪些,nǎxiē,which,你喜欢哪些电影？,Which movies do you like?,5,你喜欢__电影？,Band1
请假,qǐngjià,ask for leave,我明天要请假,I need to take a day off tomorrow.,5,我明天要__,Band1
上班,shàngbān,go to work,我早上九点上班,I start work at 9 a.m.,5,我早上九点__,Band1
商场,shāngchǎng,noun: shopping mall / department store,这家商场今天打折，人特别多。,This shopping mall is having a sale today — it's super crowded.,5,这家__今天打折，人特别多。,Band1
商店,shāngdiàn,noun: shop / store,那家商店24小时营业，晚上也可以买东西。,"That store is open 24 hours, so you can shop even at night.",5,那家__24小时营业，晚上也可以买东西。,Band1
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,I go online every night to look things up.,5,我每天晚上都会__查资料。,Band1
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,5,今天__很好，适合去散步。,Band1
外国,wàiguó,noun: foreign country,他明年打算去外国留学。,He plans to study abroad next year.,5,他明年打算去__留学。,Band1
外语,wàiyǔ,noun: foreign language,她从小就对外语很感兴趣，现在能说三种语言。,She’s been interested in foreign languages since young and can now speak three.,5,她从小就对__很感兴趣，现在能说三种语言。,Band1
网友,wǎngyǒu,noun: online friend,我和一个网友聊了很久，后来还见了面,"I chatted with an online friend for a long time, and we eventually met in person.",5,我和一个__聊了很久，后来还见了面,Band1
行,xíng/ háng,"Pronounced as xíng
Adjective: capable / competent / good
Adjective/Interjection: okay / alright / permitted

Pronounced as háng 
Noun: row / line
Noun: seniority/ranking among siblings (older usage)",你在家里排行，处理这几行账目最行，如果我们现在去核对也行。,"You are the highest ranking (seniority) at home, you are the most capable at handling these few rows of accounts; it is also okay if we go and verify them now.",5,你在家里排__，处理这几__账目最__，如果我们现在去核对也__。,Band1
学院,xuéyuàn,"noun: college / institute
Specifcally: a single-subject institution (Arts, Music, Law), a branch inside a university, or Junior College (Singapore specific).",她就读于艺术学院，主修绘画。,"She studies at an art college, majoring in painting.",5,她就读于艺术__，主修绘画。,Band1
页,yè,"noun: page (in a book, document, website)","请翻到书的第五十页。
",Please turn to page 50 of the book.,5,"""请翻到书的第五十__。
""",Band1
正在,zhèngzài,in process of,我正在吃饭,I’m eating (right now).,5,我__吃饭,Band1
重要,zhòngyào,important,家人对我来说最重要,Family is the most important to me.,5,家人对我来说最__,Band1
爱情,àiqíng,Noun: romantic love / romance,爱情征服一切，我们必须屈从爱情。,There is deep romantic love between them,5,他们之间有很深的__,Band2
爱人,àirén,"Noun: husband or wife / spouse
In mainland China and formal contexts, it is the standard way to refer to one’s legal spouse.",她的爱人很支持她的工作,Her partner/lover really supports her work,5,她的__很支持她的工作,Band2
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,5,我在__工作，每天朝九晚五。,Band2
半夜,bànyè,in the middle of the night,不要半夜打电话给我,Don’t call me in the middle of the night.,5,不要__打电话给我,Band2
报名,bàomíng,sign up,你报名参加比赛了吗？,Did you sign up for the competition?,5,你报名参加比赛了吗？,Band2
背,bēi,carry on the back,他背着一个很大的书包,He’s carrying a big backpack.,5,他__着一个很大的书包,Band2
遍,biàn,Times,这本书我读了三遍,I’ve read this book three times (completely).,5,这本书我读了三__,Band2
变成,biànchéng,become; change into,水变成了冰,Water turned into ice.,5,水__了冰,Band2
表示,biǎoshì,"To Express
Usage: Use this when you are ""showing"" or ""indicating"" something, often through a gesture, an official statement, or a specific action. It can also mean ""to represent.""",他表示了他的担忧,He expressed his concern,5,他__了他的担忧,Band2
笔记本,bǐjìběn,Notebook,我买了一个新笔记本来记汉字,I bought a new notebook to write down Chinese characters.,5,我买了一个新__来记汉字,Band2
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,"I like many sports, for example, basketball and swimming.",5,我喜欢很多运动，__篮球和游泳,Band2
必须,bǐxú,Must,你必须每天练习中文。,You must practice Chinese every day.,5,你__每天练习中文。,Band2
不但,búdàn,not only,他不但聪明，而且非常勤奋,"He is not only intelligent, but also very hardworking",5,他__聪明，__非常勤奋,Band2
部分,bùfen,Part,我只看了这本书的一部分,I only read part of this book.,5,我只看了这本书的一__,Band2
不过,búguò,"adverb: however, but 
adverb: only, just",这里的菜很好吃，不过价格不过五块钱。,"The food here is delicious, but the price is only five dollars.",5,这里的菜很好吃，__价格__五块钱。,Band2
不满,bùmǎn,dissatisfied,"(Adjective)员工们对新的政策感到不满
(Noun)这引起了许多人的不满",He is very dissatisfied with the service,5,"(Adjective)员工们对新的政策感到__
(Noun)这引起了许多人的__",Band2
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,"Instead of hesitating, it’s better to just try once.",5,与其犹豫不决，__直接试一次。,Band2
不太,bútài,not too; not very much,这个价格不太贵,This price is not too expensive.,5,这个价格__贵,Band2
不同,bùtóng,different,我们有不同的看法,We have different opinions.,5,我们有__的看法,Band2
不一定,bùyīdìng,not necessarily; uncertain,贵的不一定就是最好的,Expensive doesn’t necessarily mean the best.,5,贵的__就是最好的,Band2
菜单,càidān,menu,菜单上有很多素菜,There are lots of vegetarian dishes on the menu.,5,__上有很多素菜,Band2
参观,cānguān,visit,我们明天要去参观博物馆,We’re going to visit the museum tomorrow.,5,我们明天要去__博物馆,Band2
草地,cǎodì,lawn,孩子们在草地上玩游戏,The kids are playing on the grass.,5,孩子们在 __上玩游戏,Band2
层,céng,noun: layer / floor (of a building),这栋楼有二十层，我的办公室在第十层。,"This building has 20 floors, and my office is on the 10th.",5,这栋楼有二十__，我的办公室在第十__。,Band2
常见,chángjiàn,commonly seen,这是一个很常见的问题,This is a very common problem.,5,这是一个很__的问题,Band2
常用,chángyòng,commonly used,这些是常用的汉字,These are commonly used Chinese characters.,5,这些是__的汉字,Band2
超过,chāoguò,Exceed,他的身高超过了一米八,Our income has exceeded last year’s.,5,他的身高__了一米八,Band2
超市,chāoshì,Supermarket,我去超市买点儿东西,I'm going to the supermarket to buy something.,5,我去__买点儿东西,Band2
车辆,chēliàng,noun: vehicle,这个路口禁止一切车辆通行。,All vehicles are prohibited from passing through this intersection.,5,这个路口禁止一切__通行。,Band2
成绩,chéngjì,results,她的考试成绩非常好,Her exam results are excellent.,5,她的考试__非常好,Band2
重复,chóngfù,repeat,别总是重复同样的错误,Don’t keep repeating the same mistakes.,5,别总是__同样的错误,Band2
重新,chóngxīn,repeat again from the start,你可以重新开始,You can start over.,5,你可以__开始,Band2
重新,chóngxīn,adverb: again / afresh,他决定重新开始，换了工作，也搬了新家。,He decided to start over—he changed jobs and moved to a new home.,5,他决定__开始，换了工作，也搬了新家。,Band2
出口,chūkǒu,"noun: exit; export
verb: to export",这个商场的出口在左边，而他们主要把产品出口到国外。,"The mall’s exit is on the left, and they mainly export their products overseas.",5,这个商场的出口在左边，而他们主要把产品出口到国外。,Band2
出生,chūshēng,born,他是2000年出生的。,He was born in the year 2000.,5,他是2000年__的。,Band2
出院,chūyuàn,discharged; leave hospital,他昨天刚出院,He was just discharged from the hospital yesterday.,5,他昨天刚__,Band2
出租,chūzū,rent,这套房子正在出租,This apartment is currently for rent.,5,这套房子正在__,Band2
出租车,chūzūchē,taxi,我需要叫一辆出租车,I need to call a taxi.,5,我需要叫一辆__,Band2
大部分,dàbùfèn,most,大部分学生都通过了考试,Most of the students passed the exam.,5,__学生都通过了考试,Band2
大多数,dàduōshù,most people; great majority of people,大多数人喜欢这个电影。,The majority of people like this movie.,5,__人喜欢这个电影。,Band2
打工,dǎgōng,to work a part-time or casual job,很多大学生暑假去打工,Many college students work part-time during summer break.,5,很多大学生暑假去__,Band2
大量,dàliàng,"adjective: large amount of; massive
noun: large quantity",短时间内涌入了大量游客，景区一度很拥挤。,"A large number of tourists poured in within a short time, and the scenic area became crowded for a while.",5,短时间内涌入了__游客，景区一度很拥挤。,Band2
当时,dāngshí,at that time,我当时不知道该怎么办,"At that time, I didn’t know what to do.",5,我__不知道该怎么办,Band2
单位,dānwèi,"Can still refer to a person's workplace, especially in more formal or official contexts, or when the organization has some level of state affiliation.
Can also be used more generally to mean a ""unit"" within an organization or system.",我在一个政府单位工作,I work at a government organization.,5,我在一个政府__工作,Band2
单位,dānwèi,"noun: unit (of measurement, organization, work unit)",“米”是长度的基本单位；他在一家国企单位上班。,,5,“米”是长度的基本__；他在一家国企__上班。,Band2
道路,dào,"Scope: It tends to refer to main roads, highways, or a system of roads. It can also be used metaphorically to mean a path or way (e.g., a path to success).
Formality: It's more common in formal writing, official announcements, news reports, and technical contexts.",城市的道路越来越多了,There are more and more roads in the city.,5,城市的__越来越多了,Band2
到处,dàochù,everywhere,节日的时候，城市里到处都是人,"During holidays, the city is full of people everywhere.",5,节日的时候，城市里__都是人,Band2
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。","What you said makes a lot of sense.
He never listens to reason.",5,"你说的很有__
他从来不听__。",Band2
打算,dǎsuàn,Plan,我打算下个月去旅行。,I plan to travel next month.,5,我__下个月去旅行。,Band2
大小,dàxiǎo,size,这些箱子的大小都不一样,These boxes are all different sizes.,5,这些箱子的__都不一样,Band2
大衣,dàyī,overcoat,今天太冷了，我穿了大衣,It’s too cold today—I wore a coat.,5,今天太冷了，我穿了__,Band2
打印,dǎyìn,Print,我需要打印这份文件,I need to print this document.,5,我需要__这份文件,Band2
打印,dǎyìn,verb: to print,请把这份文件打印出来交给老师。,Please print this document and hand it to the teacher.,5,请把这份文件__出来交给老师。,Band2
答应,dāying,promise,你答应过我的！,You promised me!,5,你__过我的！,Band2
大自然,dàzìrán,nature,我们应该保护大自然,We should protect nature.,5,我们应该保护__,Band2
得出,déchū,to come to (a conclusion,我们得出了一个结论,We came to a conclusion.,5,我们__了一个结论,Band2
等于,děngyú,Be equal to,二加二等于四,Two plus two equals four.,5,二加二__四,Band2
度,dù,"noun: degree / extent / unit
verb: to spend (time, formal)",今天的温度是三十度，他决定在家度过这个炎热的下午。,"The temperature today is 30 degrees, and he decided to spend the hot afternoon at home.",5,今天的温度是三十__，他决定在家度过这个炎热的下午。,Band2
段,duàn,paragraph,请读一下这段文章,Please read this paragraph,5,请读一下这__文章,Band2
短信,duǎnxìn,SMS / Text Message,我给你发了一个短信,I sent you a text message.,5,我给你发了一个__,Band2
队,duì,team,他们是一支足球队,They are a soccer team.,5,他们是一支足球__,Band2
对话,duìhuà,dialogue,这是一段很有趣的对话,This is a very interesting dialogue.,5,这是一段很有趣的__,Band2
对面,duìmiàn,Opposite side,银行就在学校对面,The bank is right across from the school.,5,银行就在学校__,Band2
队长,duìzhǎng,team leader; captain,队长负责安排训练,The captain is in charge of organizing training.,5,__负责安排训练,Band2
多数,duōshù,most; majority,多数人都同意这个计划,The majority of people agree with this plan.,5,__人都同意这个计划,Band2
读音,dúyīn,pronunciation,这个汉字有两个读音,This character has two pronunciations.,5,这个汉字有两个__,Band2
反对,fǎnduì,verb: to oppose / to be against,我不反对这个建议，但还有些地方需要讨论。,“Meter” is a basic unit of length; he works at a state-owned work unit.,5,我不__这个建议，但还有些地方需要讨论。,Band2
方便,fāngbiàn,convenient,你什么时候方便见面？,When is it convenient for you to meet?,5,你什么时候__见面？,Band2
方便面,fāngbiànmiàn,noun: instant noodles,我太饿了，先泡一碗方便面吃吧。,I'm so hungry—let me make a bowl of instant noodles first.,5,我太饿了，先泡一碗__吃吧。,Band2
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,We need to improve our work in every aspect.,5,我们要在各个__改进工作,Band2
饭馆,fànguǎn,restaurant,这家饭馆的菜很好吃,The food at this restaurant is really tasty.,5,这家__的菜很好吃,Band2
方向,fāngxiàng,direction,请问火车站的方向是哪边？,"Excuse me, which way is the train station?",5,请问火车站的__是哪边？,Band2
放心,fàngxīn,Don't worry,你放心，我会帮你的,"Don’t worry, I’ll help you.",5,你__，我会帮你的,Band2
分数,fēnshù,score; mark; fraction,他的分数比我高。,His score is higher than mine.,5,他的__比我高。,Band2
服务,fúwù,service,这家饭店的服务很好,我们的工作是为客户服务,5,这家饭店的__很好,Band2
该,gāi,"auxiliary verb: should / ought to
pronoun: that / the said (formal/literary)",该文件已经过期，你该重新下载新的版本。,The said document has expired—you should download the latest version.,5,__文件已经过期，你__重新下载新的版本。,Band2
改变,gǎibiàn,change,你不想改变一下自己吗？,Don’t you want to change yourself a bit?,5,你不想__一下自己吗？,Band2
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,I want to take this opportunity to express my thanks.,5,我想借这个机会表示__。,Band2
高级,gāojí,advanced / high-level,他上的是高级汉语课。,He’s taking an advanced Chinese class.,5,他上的是__汉语课。,Band2
歌词,gēcí,noun: lyrics,这首歌的歌词很感人，我听了好几遍。,The lyrics of this song are touching—I’ve listened to it many times.,5,这首歌的__很感人，我听了好几遍。,Band2
个子,gèzi,Height,你弟弟个子真高！,Your little brother is really tall!,5,你弟弟__真高！,Band2
公共汽车,gōnggòngqìchē,public vehicle (formal version),这条路线的公共汽车班次不多,The public bus services on this route are infrequent,5,这条路线的__班次不多,Band2
公交车,gōngjiāochē,public transport vehicle,在中国，很多人选择乘坐公交车出行,"In China, many people choose to travel by public bus",5,在中国，很多人选择乘坐__出行,Band2
公斤,gōngjīn,kilogram,这个西瓜有五公斤重,This watermelon weighs five kilograms.,5,这个西瓜有五__重,Band2
公里,gōnglǐ,kilometre,学校离我家有三公里远。,The school is three kilometers away from my home.,5,学校离我家有三__远。,Band2
公路,gōnglù,generally refers to a major road connecting cities and towns. (Not the same as expressway),我们沿着这条公路一直开。,We drove straight along this highway.,5,我们沿着这条__一直开。,Band2
公平,gōngpíng,fair,老师对每个学生都很公平。,The teacher is fair to every student.,5,老师对每个学生都很__。,Band2
公司,gōngsī,company,他在一家外国公司工作。,He works at a foreign company.,5,他在一家外国__工作。,Band2
观点,guāndiǎn,"viewpoint / point of view (more formal version, often used in writing, debates, essays, or academic discussions.)",我同意你的观点。,I agree with your point of view.,5,我同意你的__。,Band2
广场,guǎngchǎng,square (not the shape),孩子们在广场上玩游戏。,The children are playing games in the square.,5,孩子们在__上玩游戏。,Band2
广告,guǎnggào,Advertisement,电视上正在播放一则新的广告。,A new advertisement is playing on TV.,5,电视上正在播放一则新的__。,Band2
关机,guānjī,"to turn off (a machine/device),"" ""to shut down,"" or ""to power off.""",请把这个设备关机,Please turn off this device,5,请把这个设备__,Band2
顾客,gùkè,customer,顾客永远是第一位的。,The customer is always the top priority.,5,__永远是第一位的。,Band2
国际,guójì,international,他在一家国际学校上学。,He studies at an international school.,5,他在一家__学校上学。,Band2
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,Let the past stay in the past.,5,__的事情就让它过去吧,Band2
故意,gùyì,deliberately,他不是故意打破杯子的。,He didn’t break the cup on purpose.,5,他不是__打破杯子的。,Band2
好处,hǎochu,benefit,多运动对身体有好处。,Exercising more is beneficial for your health.,5,多运动对身体有__。,Band2
好事,hǎoshì,good deed; good thing,他们结婚了，真是件好事！,They got married—what a wonderful thing!,5,他们结婚了，真是件__！,Band2
合适,héshì,appropriate,这件衣服对你来说很合适。,This piece of clothing suits you well.,5,这件衣服对你来说很__。,Band2
湖,hú,lake,湖边的风景非常美丽。,The scenery by the lake is very beautiful.,5,__边的风景非常美丽。,Band2
坏处,huàichù,disadvantage; harm,抽烟对身体有坏处。,Smoking is harmful to your health.,5,抽烟对身体有__。,Band2
画家,huàjiā,painter,他是一位著名的画家。,He is a famous painter.,5,他是一位著名的__。,Band2
忽然,hūrán,suddenly,天气忽然变冷了。,The weather suddenly turned cold.,5,天气__变冷了。,Band2
护照,hùzhào,passport,出国旅行需要护照。,You need a passport to travel abroad.,5,出国旅行需要__。,Band2
急,jí,urgent;,别急，我们还有时间。,"Don’t worry, we still have time.",5,别__，我们还有时间。,Band2
角,jiǎo,Animal horn,许多动物都有角，用来防御或在争斗中使用,"Xǔduō dòngwù dōu yǒu jiǎo, yòng lái fángyù huò zài zhēngdòu zhōng shǐyòng.",5,许多动物都有__，用来防御或在争斗中使用,Band2
角度,jiǎodù,"angle, perspective, point of view",从不同的角度看问题很重要。,It’s important to look at problems from different angles.,5,从不同的__看问题很重要。,Band2
交给,jiāogěi,verb: to hand over / to give to,请把作业交给老师。,Please hand your homework to the teacher.,5,请把作业__老师。,Band2
交朋友,jiāopéngyǒu,make friends,他很容易交朋友。,He makes friends easily.,5,他很容易__。,Band2
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,It’s quiet in the classroom; everyone is studying.,5,教室里很__，大家都在学习。,Band2
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,He is an experienced Chinese teacher.,5,他是一位有经验的中文__。,Band2
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",The transportation in this city is very convenient. The traffic during rush hour is very congested,5,"这个城市的__非常方便。
上班高峰期的__非常拥堵",Band2
教学,jiàoxué,"teaching as a profession, a process, or a system","他的教学方法很有效
这所大学非常重视教学质量",His teaching methods are very effective. We are discussing the new teaching syllabus (or curriculum),5,"他的__方法很有效
这所大学非常重视__质量",Band2
教育,jiàoyù,education,新加坡的教育体系非常注重双语能力,Singapore's education system places great emphasis on bilingualism,5,新加坡的__体系非常注重双语能力,Band2
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,5,他从小接受良好的__，现在也__自己的孩子很用心。,Band2
叫作,jiàozuò,"be called; be known as (used in more informal situations, names, and common terms.)",这种游戏叫作“狼人杀”。,"This kind of game is called ""Werewolf"".",5,这种游戏__“狼人杀”。,Band2
家长,jiāzhǎng,parent,学校邀请家长来开会。,The school invited the parents to a meeting.,5,学校邀请__来开会。,Band2
接,jiē,"act of connecting, meeting, or taking",我去车站接朋友,I’m going to the station to pick up a friend.,5,我去车站__朋友,Band2
街,jiē,street,这条街上有很多商店。,There are many shops on this street.,5,这条__上有很多商店。,Band2
接到,jiēdào,successful completion of receiving something that was sent or communicated,我刚接到一个电话。,I just received a phone call.,5,我刚__一个电话。,Band2
结果,jiéguǒ,Result,比赛的结果很令人满意。,The result of the match was very satisfying.,5,比赛的__很令人满意。,Band2
节目,jiémù,program,我最喜欢那个歌唱节目。,My favorite is that singing program.,5,我最喜欢那个歌唱__。,Band2
节日,jiérì,festival,春节是中国最重要的节日。,Spring Festival is the most important holiday in China.,5,春节是中国最重要的__。,Band2
接受,jiēshòu,"to accept (an idea, suggestion, gift, etc.)",他很快接受了这个事实。,He accepted the fact quickly.,5,他很快__了这个事实。,Band2
接受,jiēshòu,verb: to accept / to receive,他很快就接受了新的安排，也接受了大家的意见。,He quickly accepted the new arrangement and everyone’s suggestions.,5,他很快就__了新的安排，也__了大家的意见。,Band2
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,"Next, we will discuss the marketing strategy.",5,__我们要讨论市场营销策略,Band2
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,"He finished eating, then went for a walk.",5,他吃完饭，__去散步。,Band2
资料,jīhū,adverb: almost / nearly,我几乎忘了今天有考试。,I almost forgot there was an exam today.,5,我__忘了今天有考试。,Band2
计划,jìhuà,plan,我们下周有一个旅游计划。,We have a travel plan for next week.,5,我们下周有一个旅游 __。,Band2
近,jìn,near,学校离我家很近,The school is very close to my home.,5,学校离我家很__,Band2
斤,jīn,a unit of weight (=1/2 kilogram),我要买两斤苹果。,I want to buy two jin of apples. (approx. 1 kg),5,我要买两__苹果。,Band2
经过,jīngguò,to pass by / to go through,我每天上学都会经过那家咖啡店。,I pass by that coffee shop every day on my way to school.,5,我每天上学都会__那家咖啡店。,Band2
经理,jīnglǐ,manager,他是这家餐厅的经理。,He is the manager of this restaurant.,5,他是这家餐厅的__。,Band2
今后,jīnhòu,from now on; in the future,今后我要每天学习中文。,"From now on, I will study Chinese every day.",5,__我要每天学习中文。,Band2
进入,jìnrù,verb: to enter,请刷卡进入办公楼。,Please swipe your card to enter the office building.,5,请刷卡__办公楼。,Band2
进行,jìnxíng,to carry out / to proceed,比赛正在进行中。,The competition is in progress.,5,比赛正在__中。,Band2
举,jǔ,to raise / to lift,请举手回答问题。,Please raise your hand to answer the question.,5,请__手回答问题。,Band2
具体,jùtǐ,"adjective: concrete / specific

noun: details",请说明你的具体计划，我想了解更多具体内容。,Please explain your specific plan — I want to know more details.,5,请说明你的__计划，我想了解更多__内容。,Band2
举行,jǔxíng,to hold (an event),学校下周将举行运动会。,The school will hold a sports day next week.,5,学校下周将__运动会。,Band2
句子,jùzi,sentence,请用这个词造一个句子。,Please make a sentence with this word.,5,请用这个词造一个__。,Band2
开机,kāijī,to turn on (a machine/device),请先开机，然后登录系统,"Please turn on the device first, then log in to the system.",5,请先__，然后登录系统,Band2
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,What’s your opinion on this issue?,5,你对这个问题有什么__？,Band2
靠,kào,to lean on / to rely on / to be near (very close enough),他靠在墙上. 我们靠自己的努力生活. 我们家靠着海边,He leaned against the wall. 我们靠自己的努力生活. 我们家靠着海边,5,他__在墙上. 我们__自己的努力生活. 我们家__着海边,Band2
考生,kǎoshēng,examinee,所有的考生请提前到达考场。,"All test-takers, please arrive at the exam room early.",5,所有的__请提前到达考场。,Band2
克,kè,gram,这块蛋糕有两百克。,This piece of cake weighs 200 grams.,5,这块蛋糕有两百__。,Band2
刻,kè,Carve,他在石头上刻了名字。,He carved his name into the stone.,5,他在石头上__了名字。,Band2
可怕,kěpà,dreadful,昨天晚上我做了一个可怕的梦,I had a scary dream last night.,5,昨天晚上我做了一个__的梦,Band2
空气,kōngqì,atmosphere,山上的空气很新鲜,The air in the mountains is very fresh.,5,山上的__很新鲜,Band2
快餐,kuàicān,fast food,我们中午吃快餐吧。,Let’s have fast food for lunch.,5,我们中午吃__吧。,Band2
来自,láizì,Come from,他来自韩国。,He comes from South Korea.,5,他__韩国。,Band2
老年,lǎonián,old age / elderly years,她在老年时喜欢种花。,"In her old age, she liked gardening.",5,她在__时喜欢种花。,Band2
老是,lǎoshì,always (used negatively or to express annoyance),他上课老是迟到。,He’s always late for class.,5,他上课__迟到。,Band2
凉快,liángkuai,cool and pleasant (weather),今天晚上挺凉快的。,It’s quite cool this evening.,5,今天晚上挺__的。,Band2
零下,língxià,below zero,昨天晚上气温降到零下五度。,Last night the temperature dropped to minus five degrees.,5,昨天晚上气温降到__五度。,Band2
例如,lìrú,for example,很多水果都很健康，例如苹果和香蕉,"Many fruits are healthy, for example, apples and bananas.",5,很多水果都很健康，__苹果和香蕉,Band2
里头,lǐtou,inside (informal version),箱子里头有什么？,What’s inside the box?,5,箱子__有什么？,Band2
流,liú,flow / shed,在筋疲力尽的战斗后，他脸上既流着痛苦的眼泪，身上又流着受伤的血，汗水也止不住地往下流。,"After an exhausting battle, painful tears flowed down his face, blood flowed from his wounds on his body, and sweat poured down uncontrollably.",5,在筋疲力尽的战斗后，他脸上既__着痛苦的眼泪，身上又__着受伤的血，汗水也止不住地往下__。,Band2
流利,liúlì,fluent,他说汉语说得很流利,He speaks Chinese very fluently.,5,他说汉语说得很__,Band2
流行,liúxíng,popular / fashionable,这首歌现在很流行。,This song is very popular right now.,5,这首歌现在很__。,Band2
留学生,liúxuéshēng,international student,她是一名来自法国的留学生。,She’s an international student from France.,5,她是一名来自法国的__。,Band2
理想,lǐxiǎng,ideal / dream,我的理想是当医生。,My dream is to become a doctor.,5,我的__是当医生。,Band2
例子,lìzi,example,请给我一个简单的例子。,Please give me a simple example.,5,请给我一个简单的__。,Band2
旅游,lǚyóu,Travel,我打算去中国旅游。,I plan to travel to China,5,我打算去中国__。,Band2
满意,mǎnyì,Satisfied,客人对服务很满意。,The customer is very satisfied with the service.,5,客人对服务很__。,Band2
面前,miànqián,in front of,他站在老师面前不敢说话,He stood in front of the teacher and didn’t dare to speak.,5,他站在老师__不敢说话,Band2
名称,míngchēng,"name (formal, of a thing/place)",这个软件的名称是什么？,What’s the name of this software?,5,这个软件的__是什么？,Band2
名单,míngdān,name list,你的名字已经在名单上了。,Your name is already on the list.,5,你的名字已经在__上了。,Band2
明星,míngxīng,celebrity / star,她梦想成为一位电影明星。,She dreams of becoming a movie star.,5,她梦想成为一位电影__。,Band2
目的,mùdì,objective,我们这次旅行的目的是放松一下。,The purpose of this trip is to relax.,5,我们这次旅行的__是放松一下。,Band2
难过,nánguò,sad / upset,听到这个消息我很难过。,I was very sad to hear the news.,5,听到这个消息我很__。,Band2
难受,nánshòu,to feel unwell / uncomfortable,我今天有点儿难受，可能感冒了。,"I feel a little unwell today, maybe I caught a cold.",5,我今天有点儿__，可能感冒了。,Band2
年级,niánjí,grade,你是几年级的学生？,What grade are you in?,5,你是几__的学生？,Band2
